Keysight E1733A String Table
Korean

[1],Linear,거리변위
[1013],User data will not be deleted,사용자 데이터는 삭제되지 않습니다
[1014],Agree,동의
[1015],Do Not Agree,동의하지 않음
[1016],Customize,사용자 정의
[1017],Customize user interface and advanced options of [%s],[%s]의 사용자 인터페이스 및 고급 옵션을 사용자 정의하다
[1018],Repair,수리
[1019],Repair system settings and reinstall driver,시스템 설정을 복구하고 드라이버를 다시 설치

[2001],Existing Calibration,기존의 교정
[2002],New Calibration,새로운 교정
[2003],Raw Value,원시 값
[2004],Calibrated,보정
[2005],Reference,참고
[2006],Temperature,온도
[2007],Write Sensor,센서를 작성
[2008],Sensor Calibration,센서 교정
[2009],Sensor has been updated,센서가 업데이트되었습니다
[2010],Discard changes,변경 사항을 취소
[2011],Cannot access sensor,센서에 액세스 할 수 없습니다

[3001],Laser position,레이저 위치
[3002],Laser position 2,레이저 위치 2
[3003],Error value,오류 값
[3004],Target position,목표 위치
[3005],Encoder reading,인코더 읽기
[3006],Rotary table reading,회전 테이블 읽기
[3007],Rotary angle,회전 각도
[3008],Elapsed time,경과 시간
[3009],Motion velocity,운동 속도
[3010],Target position number,목표 위치 번호
[3011],Click to change lower display,하단 디스플레이를 변경하려면 클릭
[3012],Click to change upper display,상단 디스플레이를 변경하려면 클릭
[3013],Beam strength 2,빔 강도 2
[3014],beam strength,빔 강도
[3015],Simulated laser position,시뮬레이션 레이저 위치
[3016],Rotary table status |Click to enter hardware setup menu,회전 테이블 상태 | 하드웨어 설정 메뉴를 입력하려면 클릭
[3017],Air pressure,공기 압력
[3018],Air temperature,대기 온도
[3019],Material Temperature 1,재료 온도 1
[3020],Material Temperature 2,재료 온도 2
[3021],Material temperature 3,재료 온도 3
[3022],Air relative humidity,공기의 상대 습도
[3023],Environmental parameter display area |Double click to enlarge or recover,환경 매개 변수 표시 영역 | 더블 확대하거나 복구합니다
[3024],Measurement graph display area |Double click to enlarge or recover |Drag to change display area,측정 그래프 표시 영역 | 표시 영역을 변경하려면 드래그 | 더블 클릭하면 확대하거나 복구하는 방법
[3025],Measurement data display area |Double click to enlarge or recover,측정 데이터 표시 영역 | 더블 클릭하면 확대하거나 복구하는 방법
[3026],Change error value sign,변경 오류 값 기호
[3027],Enter limit line value,한계선 값을 입력
[3028],Select -> to display limit line,선택 -> 디스플레이 제한 라인
[3029],Enter line number |Press the left button to setup it as the first line,첫 번째 줄 설치에 눌러 왼쪽 버튼 | 행 번호를 입력
[3030],Select the display mode of the target position,목표 위치의 표시 모드를 선택
[3031],Enter user defined Y-axis range,사용자 정의 Y 축 범위를 입력
[3032],Select ->  Display graph,선택 -> 디스플레이 그래프
[3033],Auto select Y-axis range,자동 선택 Y 축 범위
[3034],Select -> Display according to user defined range,사용자 정의 범위에 따라> 디스플레이 -를 선택
[3035],Toolbar,도구 모음
[3036],Select environmental parameter units ,환경 매개 변수 단위를 선택
[3037],"Pressed to display grid lines, released to hide grid lines ","눈금 선을 표시 누르면, 눈금 선을 숨길 출시"
[3038],"Pressed to display 3D graph, released to display 2D graph","3D 그래프를 표시 프레스, 2D 그래프를 표시 출시"
[3039],Select environmental parameter type,환경 매개 변수 유형을 선택
[3040],Select the axis to be displayed,나타낼 축을 선택
[3041],Select the data type of the time to be displayed,나타낼 시간의 데이터 형태를 선택
[3042],Select the items to be displayed,나타낼 항목을 선택
[3043],Enter the measurement point number for the zero position ,제로 위치에 대한 측정 지점 번호를 입력
[3044],Select the conversion method of the error sign,오류 기호의 변환 방법을 선택합니다
[3045],Compensation value calculation method,보정 값 산출 방법
[3046],Select the measurement unit format |It will effect on all the display values,그것은 모든 표시 값에 유효한 것이다 | 측정 유닛 형식을 선택
[3047],Length value correspond to one machine compensation value,길이 값은 하나의 기계 보상 값에 대응
[3048],Select compensation table location and generation method,선택 보정 테이블의 위치 및 생성 방법
[3049],Start position of the compensation table,보정 테이블의 시작 위치
[3050],End position of the compensation table,보정 테이블의 끝 위치
[3051],Interval of the compensation table,보정 테이블의 간격
[3052],Select the expression form of the compensation value |It will affect the sign of the compensation value,보정 값의 표현 형식을 선택 |이 보정 값의 부호에 영향을 미칠 것이다
[3053],Select the calculation methods for the forward and reverse compensation values |Combination: compensation value from the average of the two values |Forward/Reverse: calculate two compensation values separately,조합 | 앞으로의 계산 방법을 선택하고 보정 값을 반전 : | 두 값의 평균치로부터 보정 값을 정방향 / 역방향 : 개별적 개의 보정 값을 계산할
[3054],Click to enter ISO information menu,ISO 정보 메뉴를 입력하려면 클릭
[3055],Click to enter machine information menu,기기 정보 메뉴를 입력하려면 클릭
[3056],Click to enter measurement setup menu,측정 설정 메뉴를 입력하려면 클릭
[3057],Click to enter data analysis menu,데이터 분석 메뉴를 입력하려면 클릭
[3058],Select settings for the measurement |Default: Default for all the settings; suitable for new measurement |Saved: Save measurement and information setting; Suitable for the repeating measurement |Information: Save information settings only; Suitable for measurement for the same machine,측정을위한 선택 설정 | 기본값 : 모든 설정을 기본; 새로운 측정에 적합한는 | 저장 : 측정 및 정보 설정을 저장합니다; 반복 측정에 적합 | 정보 : 정보 설정 만 저장; 동일한 시스템의 측정에 적합
[3059],Select display language,표시 언어 선택
[3060],Click to setup the default path for data files,설정 데이터 파일의 기본 경로를 클릭
[3061],Select the display method of the interface,인터페이스의 표시 방법을 선택
[3062],Installed certificate,설치된 인증서
[3063],Select to open simulation mode,오픈 시뮬레이션 모드를선택
[3064],Select for auto recovery after signal loss,신호 손실 후 자동 복구를 위한 선택
[3065],Select to enter demo mode,입력 데모 모드를 선택
[3066],Select for beep on the data recording,데이터 기록시 표시음 선택
[3067],Select for E1736A S/N,E1736A의 S/N를 선택
[3068],Select for E1735A S/N,E1735A의 S/N를 선택
[3069],Select for the second E1735A S/N,두 번째 E1735A의 S/N를 선택
[3070],"Select for the operation of [Reset], [Start], [Record] and [Stop] applied to both E1735A","적용되는 모든 E1735A의 [재설정],[시작],[기록] 및 [정지] 동작 선택"
[3071],Enter the wavelength of the laser head,레이저 헤드의 파장을 입력
[3072],User calibration value,사용자 보정 값
[3073],Optics calibration parameter,광학 보정 파라미터
[3074],Change laser position sign,레이저 방향 기호 변경
[3075],Air parameter update method |Plug or unplug sensor will change the setting,공기 매개 변수 업데이트 방법 | 센서를 삽입하거나 제거하면이 설정을 자동으로 변경됩니다
[3076],Select air humidity update method,공기 습도 업데이트 방법 선택
[3077],Select to enter the air humidity manually |Data from air sensor will be ignored,수동으로 공기 습도를 입력하려면 선택 | 공기 센서로부터 데이터는 무시됩니다
[3078],Material temperature update method |Plug or unplug sensor will change the setting,재료 온도 업데이트 방법 | 플러그 또는 분리 센서 설정을 변경합니다
[3079],Average of the material temperatures,재료 온도의 평균
[3080],Compensation number for the laser wavelength in air,공기의 레이저 파장에 대한 보상 번호
[3081],Total compensation number including wavelength and expansion compensations,파장 및 확장 보상을 포함하여 총 보상 번호
[3082],Expansion coefficient of the device under test or lead screw,테스트 또는 리드 스크류에 따라 장치의 팽창 계수
[3083],Repetition number of measurement cycles,측정 사이클의 반복 횟수
[3084],The length of the segment from point A to point C,A점 에서 C점 까지의 구획 길이
[3085],The length of the segment from point A to point G,A점 에서 G점 까지의 구획 길이
[3086],Diagonal length of the measurement area,측정 영역의 대각선 길이
[3087],Select the name of the axis for the next measurement,다음 측정을 위한 축의 이름을 선택
[3088],Number of stops on each axis,각 축의 정지 수
[3089],Change the number of stops on AC,AC에 정지 수를 변경
[3090],Change the number of stops on AG,AG에 정지 수를 변경
[3091],Select the direction of the measurement on the axis,축에서 측정의 방향을 선택
[3092],Enter the foot spacing of the measurement accessory,측정 액세서리의 풋 간격을 입력
[3093],The length of the guide under test |depends on the number of the stops and the foot spacing  ,레일의 길이를 측정 | 풋 간격과 정지 수에 의존
[3094],Number of stops for the measurement,측정을 위한 정지 수
[3095],Distance between the target positions,목표 위치 사이의 거리
[3096],The first target position,첫번째 타겟 위치
[3097],The last target position,최종 타겟 위치
[3098],Number of target positions in one travel range,단일 행정에서 목표 위치의 수
[3099],Data not available,이 데이터는 사용할 수 없습니다
[3100],Select to enable user defined target position,사용자 정의 타겟 위치를 활성화하려면 선택
[3101],Select measurement travel direction,측정 이동 방향을 선택
[3102],Select direction and sequence of approaching each target positions,이 방향과 순서에 가까운 목표 위치를 선택
[3103],Enter the name of the target axis,대상 축 이름 입력
[3104],Repetition number of the measurement cycles for the second axis,두 번째 축에 대한 측정 사이클의 반복 횟수
[3105],Select direction and sequence of approaching each target position on the second axis,두번째 축에서 근접한 각 타겟 위치의 구획과 방향을 선택
[3106],Enter the name of the target axis for the second axis,두번째 축에 대한 타겟 축 이름 입력
[3107],Delay time of the sampling after the object moves inside the target window ,타겟 창 안에 측정 물이 이동하고 난 후의 샘플링하는 시간
[3108],Enter the resolution of the encoder,엔코더의 정밀도를 입력
[3109],Select sampling trigger method,샘플링 트리거 방법 선택
[3110],Sampling by time,시간에 의해 샘플링
[3111],Enter target window number |Auto sampling happens after the dwell time since the object moves inside of the target window,타겟 창 수 | 타겟 창 안에 측정 물이 이동한 후 머무른 시간 후의 자동 샘플링 선택
[3112],Select encoder output format,엔코더 출력 형식 선택
[3113],Select the display accuracy of the data |It will affect accuracy of the  data in the data table and the saved file,데이터의 표시 정확도 선택 |이 데이터 테이블 및 저장된 파일 데이터의 정확도에 영향을 미칠 것이다
[3114],Select the displayed unit of the error value,에러 값의 표시 단위를 선택
[3115],Select the displayed unit of the position value,위치 값의 표시 단위를 선택
[3116],Select the type of the parallelism measurement,병렬 측정의 유형을 선택
[3117],Enter the error of the optical square,직각계의 오차를 입력
[3118],Enter the value of the dead path,데드 패스의 값을 입력
[3119],Rotary table resolution,회전 테이블 정밀도
[3120],User defined reset position,사용자 리셋에 의해 설정된 레이저 위치 값
[3121],Select average measurement time |Shorter average time will increase the measurement response speed |Longer average time will reduce the influence of the air turbulence,평균 타이밍 측정 | 응답 속도 측정을 향상시킬 수있는 짧은 평균 시간 | 긴 시간 평균화 난기류의 영향을 감소시킬 수있다
[3122],Select the type of linear measurement optics,선형 측정 광학계의 유형을 선택
[3123],Trigger sampling when the object stays in the start or end position for more than specified time ,대상의 시작 또는 종료 후 지정된 시간 트리거 자동 샘플링 이상으로 유지
[3124],Allow user to enter target position value when doing manual sampling,사용자 수동 입력 목표 위치 자체의 샘플 값을 허용
[3125],Use extended resolution |It will increase measurement accuracy but reduce sampling speed,"확장 정밀도 사용 | 이는 측정 정확도를 개선하지만, 샘플링 속도가 감소한다"
[3126],Target position interval for the second axis,두 번째 축의 타겟 위치 간격
[3127],The first target position for the second axis,두 번째 축에 대한 첫 번째 타겟 위치
[3128],The last target position for the second axis,두 번째 축에 대한 마지막 타겟 위치
[3129],The number of the target positions in one travel range for the second axis ,두 번째 축에 대해 단일 행정에서의 타겟 위치의 수
[3130],Data not available,사용할 수 없는 데이터
[3131],Select to enable user defined target position for the second axis,두 번째 축에 대한 사용자 정의 타겟 위치를 활성화하려면 선택
[3132],Enter X-axis scale,X 축 스케일 입력
[3133],Enter Y-axis scale,Y 축 스케일 입력
[3134],Enter Z-axis scale,Z 축 스케일 입력
[3135],Calculated angle Alpha value,알파 각도 수치 계산
[3136],Calculated angle Beta value,베타 각도 수치 계산
[3137],Calculated diagonal length,대각선 길이 수치 계산
[3138],Enter sampling time interval,샘플링 시간 간격을 입력
[3139],Start sampling when the object passes the designated position (both directions),대상이 지정된 위치 (양방향)을 통과 할 때 샘플링을 시작
[3140],Select to enable sampling mode,샘플링 모드를 활성화하려면 선택
[3141],Advanced setup,고급 설정
[3142],Stop sampling when the target passes the designated position (both direction),타겟이 지정된 위치 (양방향)을 통과 할 때 샘플링을 중지
[3143],Enter total sampling points,샘플의 총 수를 입력
[3144],Enter total sampling time,총 샘플링 시간을 입력
[3145],Stop sampling when data is lost,데이터가 손실 될 때 샘플링을 중지
[3146],Stop sampling when error occurs,에러 발생시 샘플링 중지
[3147],Select the mode of stop sampling,정지 샘플링 모드를 선택
[3148],Enter the value of the cover factor,커버 팩터의 값을 입력
[3149],Select the calculation method of the flatness,편평도의 산출 방법을 선택
[3150],Select the name of the printer,프린터의 이름을 선택
[3151],Enter the number of the copies to be printed,매수를 입력 인쇄 할
[3152],Select the orientation of the print,용지 방향을 선택합니다
[3153],Select the content of the print,원하는 인쇄 내용을 선택
[3154],Select the display mode of the environmental parameters,환경 파라미터의 디스플레이 모드를 선택
[3155],Display data in the graph,그래프에서 데이터를 표시
[3156],Graphical analysis options,그래픽 분석 옵션
[3157],Data analysis options,데이터 분석 옵션
[3158],Select to display the slope of the fitting line,피팅 직선의 기울기를 표시 선택
[3159],Select measurement standard,측정 표준 선택 
[3160],Unselect to cancel the modification for the standard,이 옵션을 제거하는 표준 수정에 대한 취소됩니다
[3161],Enter the name of the operator for the operation,측정 운영자의 전체 이름을 입력합니다
[3162],Enter the location of the measurement,측정의 위치를?? 입력
[3163],Enter the name of the machine,시스템의 이름을 입력
[3164],Enter the type of the machine,시스템의 유형을 입력
[3165],Enter the serial number of the machine,기기의 일련 번호를 입력
[3166],Enter the model number of the machine,기기의 모델 번호를 입력
[3167],Enter the property number of the machine,기기의 자산 번호를 입력
[3168],Enter the calibration date,교정 날짜를 입력
[3169],The file name for the saved settings,저장된 설정의 파일 이름
[3170],Enter other notes to be saved,다른 코멘트를 저장하기 입력
[3171],Enter the type of the device to be measured,측정 할 디바이스의 보상 방법을 입력 
[3172],Enter the compensation method for the device to be measured,측정 할 디바이스의 유형을 입력 
